######################################################
No. of experiment: 19
No. of channels  : 5
######################################################
Material information:
- Lande g-factor : 0.04
- e- eff mass    : 0.067 m_e
######################################################


Graph Name: G with g=0.04
+----------------+----------+-------+-------------+----------------------+--------------------+------------+--------------------+-----------------------+
| hbar w_x (meV) | w_y/ w_x | B (T) | angle (rad) |       E1 (meV)       |      E2 (meV)      | eVsd (meV) |   hbar w_c (meV)   |      Zeeman (meV)     |
+----------------+----------+-------+-------------+----------------------+--------------------+------------+--------------------+-----------------------+
|      1.0       |   2.0    |  1.0  |     0.0     | 0.12530163883142886  | 2.5403489463694897 |    0.0     | 1.683312759510717  |        0.001158       |
|      1.0       |   2.0    |  1.5  |     0.0     | 0.10176197246469533  | 3.1279846338888837 |    0.0     | 2.5249691392660756 | 0.0017369999999999998 |
|      1.0       |   2.0    |  2.0  |     0.0     | 0.08328271868807982  | 3.8220400486199537 |    0.0     | 3.366625519021434  |        0.002316       |
|      1.0       |   2.0    |  2.5  |     0.0     | 0.06962519761770307  | 4.571762768007664  |    0.0     | 4.208281898776792  |        0.002895       |
|      1.0       |   2.0    |  3.0  |     0.0     | 0.05947740205996858  | 5.351778577397395  |    0.0     | 5.049938278532151  | 0.0034739999999999997 |
|      1.0       |   2.0    |  3.5  |     0.0     | 0.05176170061518924  | 6.149525274491984  |    0.0     | 5.891594658287509  |        0.004053       |
|      1.0       |   2.0    |  4.0  |     0.0     | 0.04574471836004428  | 6.9583964574545885 |    0.0     | 6.733251038042868  |        0.004632       |
|      1.0       |   2.0    |  4.5  |     0.0     | 0.04094194845728907  | 7.774663839359184  |    0.0     | 7.574907417798226  | 0.0052109999999999995 |
|      1.0       |   2.0    |  5.0  |     0.0     | 0.03702963420948916  | 8.596085081019439  |    0.0     | 8.416563797553584  |        0.00579        |
|      1.0       |   2.0    |  5.5  |     0.0     | 0.03378642174680309  | 9.421236985946988  |    0.0     | 9.258220177308942  |        0.006369       |
|      1.0       |   2.0    |  6.0  |     0.0     | 0.03105712320636333  | 10.249174853341641 |    0.0     | 10.099876557064302 |  0.006947999999999999 |
|      1.0       |   2.0    |  6.5  |     0.0     | 0.028730279776372953 | 11.079247701776861 |    0.0     | 10.94153293681966  |        0.007527       |
|      1.0       |   2.0    |  7.0  |     0.0     | 0.02672404363033382  | 11.910992609758228 |    0.0     | 11.783189316575019 |        0.008106       |
|      1.0       |   2.0    |  7.5  |     0.0     | 0.024977095184286684 | 12.744071471691138 |    0.0     | 12.624845696330377 |        0.008685       |
|      1.0       |   2.0    |  8.0  |     0.0     | 0.023442661397231643 | 13.578231617562865 |    0.0     | 13.466502076085735 |        0.009264       |
|      1.0       |   2.0    |  8.5  |     0.0     | 0.022084485731696635 | 14.413280438170206 |    0.0     | 14.308158455841095 |        0.009843       |
|      1.0       |   2.0    |  9.0  |     0.0     | 0.02087405439570612  | 15.249068539804238 |    0.0     | 15.149814835596452 |  0.010421999999999999 |
|      1.0       |   2.0    |  9.5  |     0.0     | 0.019788649174257992 | 16.085478264885037 |    0.0     | 15.99147121535181  |        0.011001       |
|      1.0       |   2.0    |  10.0 |     0.0     | 0.01880995550993494  | 16.922415686503914 |    0.0     | 16.833127595107168 |        0.01158        |
+----------------+----------+-------+-------------+----------------------+--------------------+------------+--------------------+-----------------------+
