######################################################
No. of experiment: 19
No. of channels  : 5
######################################################
Material information:
- Lande g-factor : 2.0
- e- eff mass    : 1.0 m_e
######################################################


Graph Name: G with g=2
+----------------+----------+-------+--------------------+---------------------+----------+------------+----------------+--------------+
| hbar w_x (meV) | w_y/ w_x | B (T) |    angle (rad)     |       E1 (meV)      | E2 (meV) | eVsd (meV) | hbar w_c (meV) | Zeeman (meV) |
+----------------+----------+-------+--------------------+---------------------+----------+------------+----------------+--------------+
|      1.0       |   2.0    |  1.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.0579    |
|      1.0       |   2.0    |  1.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.08685    |
|      1.0       |   2.0    |  2.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.1158    |
|      1.0       |   2.0    |  2.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.14475    |
|      1.0       |   2.0    |  3.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.1737    |
|      1.0       |   2.0    |  3.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.20265    |
|      1.0       |   2.0    |  4.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.2316    |
|      1.0       |   2.0    |  4.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.26055    |
|      1.0       |   2.0    |  5.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.2895    |
|      1.0       |   2.0    |  5.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.31845    |
|      1.0       |   2.0    |  6.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.3474    |
|      1.0       |   2.0    |  6.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.37635    |
|      1.0       |   2.0    |  7.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.4053    |
|      1.0       |   2.0    |  7.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.43425    |
|      1.0       |   2.0    |  8.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.4632    |
|      1.0       |   2.0    |  8.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.49215    |
|      1.0       |   2.0    |  9.0  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.5211    |
|      1.0       |   2.0    |  9.5  | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |   0.55005    |
|      1.0       |   2.0    |  10.0 | 1.5707963267948966 | 0.15915494309189535 |   2.0    |    0.0     |       0        |    0.579     |
+----------------+----------+-------+--------------------+---------------------+----------+------------+----------------+--------------+
